"Species","1975","1976","1977","1978","1979","1980","1981","1982","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Common Merganser",0.0103,0.022,0.0196,0.0305,0.1375,0.013,0.0202,0.1071,0.08,0.0932,0.0661,0,0.3643,0,0.3333,0,0.8824,0,0,0.1576,0.3216,0.3256,0.6218,0.5025,0.4396,1.1382,0.0762,0.1156,0.3868,0.1995,1.9186,0.2199,0.2129,0.1925,0.1991,2.9116,0.3176,0.2066,1.0696,2.1057,0.2857,0.5882,0.9476,0.4383,0.2384
"Red-breasted Merganser",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0,0,0,0,0
"merganser sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696,0,0,0,0,0,0
"duck sp.",0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ring-necked Pheasant",0,0,0,0,0,0.013,0,0,0,0,0,0,0.0182,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0,0,0,0.0092,0,0,0,0,0
"Ruffed Grouse",0.6186,0.3297,0.2933,0.3817,0.8375,0.4026,0.3939,0.3571,0.248,0.4576,0.3223,0.319,0.255,0.1856,0.2889,0.237,0.1765,0.1004,0.0985,0.1084,0.0804,0.1302,0.0725,0.0985,0.0989,0.122,0.1524,0.0356,0.0407,0.063,0.1199,0.0169,0.0456,0.0499,0.0948,0.0816,0.0199,0,0.0696,0.0368,0.0197,0.0294,0.1174,0.0278,0.0596
"Wild Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549,0,0,0,0.2341,0.189,0.197,0.4313,0.289,0.3636,0.8626,0.1088,1.0025,1.6808,0.5043,0,0.6995,0.6078,0.7296,0.5217,0.4544
"Pied-billed Grebe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0099,0,0,0,0
"Horned Grebe",0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Blue Heron (Blue form)",0,0.044,0.0489,0.0153,0,0.013,0,0.0357,0.016,0.0339,0.0165,0.0345,0.0273,0.0309,0.0889,0.0284,0.0294,0.0223,0.0296,0.0296,0.0302,0.1023,0.0104,0.0887,0.022,0.0407,0.1238,0.0356,0.0204,0.0735,0.0428,0.0338,0.0532,0.0357,0.0569,0.0272,0.0298,0.0376,0,0.0276,0.0296,0.0882,0.0671,0.0626,0.0298
"Great Egret (American)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091,0,0,0,0,0,0,0,0.007,0
"Turkey Vulture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0,0,0,0.0098,0,0,0
"Golden Eagle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091,0,0,0,0,0,0,0.0084,0,0
"Northern Harrier",0.0103,0,0,0,0,0,0,0.0119,0.008,0,0,0.0086,0.0182,0,0.0111,0.0095,0.0196,0.0112,0.0197,0,0.0201,0,0,0.0296,0,0.0081,0.0286,0.0267,0,0,0.0086,0,0,0.0285,0.0095,0.0363,0,0.0188,0.0348,0.0184,0,0,0,0,0.0149
"Sharp-shinned Hawk",0,0.022,0,0,0,0.026,0,0.0238,0.008,0.0085,0.0248,0.0345,0.0091,0.0103,0,0.0569,0.0392,0.0112,0.069,0.0493,0.0603,0.0372,0.0415,0.0591,0.0659,0.0325,0.0571,0.0356,0.0204,0.0525,0.0343,0.0423,0.0304,0.0143,0.0379,0.0544,0.0099,0.0376,0.0174,0.0644,0.0296,0.049,0.0252,0.007,0.0149
"Cooper's Hawk",0.0206,0.011,0.0098,0,0.0125,0,0,0.0119,0,0.0508,0.0083,0.0259,0.0091,0,0.0667,0.0284,0.0196,0,0.0197,0.0493,0.0603,0.0186,0,0.0493,0.0769,0.0325,0.0476,0.0267,0.0509,0.063,0.0343,0.0761,0.038,0.0428,0.0284,0.1088,0.0199,0.0563,0.0609,0.0184,0.1182,0.0882,0.0755,0.0348,0.0447
"Northern Goshawk",0.0103,0,0,0,0,0,0.0101,0,0.032,0.0254,0.0165,0.0172,0,0.0412,0.0111,0,0.0098,0.0223,0.0099,0,0,0,0,0.0197,0,0,0.0095,0.0178,0.0102,0.0105,0.0086,0.0169,0,0,0,0.0091,0,0.0094,0.0087,0.0092,0.0099,0,0,0.0139,0
"Accipiter sp.",0,0,0,0,0,0,0,0.0238,0,0,0,0,0,0,0,0,0,0.0112,0,0,0,0,0,0,0,0,0,0,0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bald Eagle",0,0,0,0,0,0.013,0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0.0095,0,0.0102,0.0105,0,0.0169,0.0152,0.0071,0,0,0,0.0094,0.0609,0.0184,0.0591,0.0882,0.0419,0.0696,0.0372
"Red-shouldered Hawk",0,0,0,0,0,0,0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0,0,0,0,0,0,0,0.0094,0,0.0092,0,0.0098,0,0,0
"Red-tailed Hawk",0.6186,0.3516,0.4106,0.2137,0.5375,0.5195,0.3838,0.5238,0.224,0.4322,0.5785,0.3276,0.4007,0.5155,0.5,0.7488,0.3824,0.4688,0.4926,0.4926,0.4322,0.3256,0.4041,0.7291,0.3187,0.3089,0.3333,0.5422,0.2137,0.4829,0.454,0.389,0.3042,0.5348,0.5687,0.6349,0.2878,0.5352,0.4522,0.5885,0.5222,0.5882,0.4864,0.4313,0.4097
"Rough-legged Hawk",0.0412,0.022,0.0782,0,0.0125,0.013,0.0202,0.0476,0.008,0.0508,0.0579,0,0.1366,0.1753,0.0333,0.0948,0.0392,0,0.0394,0.0197,0.0503,0.0093,0,0.0296,0,0.0081,0.0381,0.1067,0.0407,0.0105,0.0086,0,0.038,0.0143,0.0379,0.0454,0,0.0282,0.0783,0,0.0296,0.0294,0.0084,0,0.0074
"Buteo sp.",0,0,0,0,0,0,0,0,0,0,0,0,0.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Coot",0,0.011,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0,0,0.0071,0,0,0,0,0,0,0.0099,0,0,0,0
"Killdeer",0,0,0,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wilson's Snipe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0
